2018-02-03 17:57:09.354947 add device 1: /dev/input/event7
2018-02-03 17:57:18.471107 /dev/input/event3: 0003 0036 000004fd
2018-02-03 17:57:18.471141 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.471161 /dev/input/event3: 0003 0035 000001c3
2018-02-03 17:57:18.471178 /dev/input/event3: 0003 0036 000004c9
2018-02-03 17:57:18.471195 /dev/input/event3: 0003 0030 00000004
2018-02-03 17:57:18.471212 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.471228 /dev/input/event3: 0003 0035 000001c5
2018-02-03 17:57:18.471245 /dev/input/event3: 0003 0036 0000048e
2018-02-03 17:57:18.471262 /dev/input/event3: 0003 0031 00000003
2018-02-03 17:57:18.471278 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.471295 /dev/input/event3: 0003 0036 00000482
2018-02-03 17:57:18.471312 /dev/input/event3: 0003 0030 00000002
2018-02-03 17:57:18.471328 /dev/input/event3: 0003 0031 00000002
2018-02-03 17:57:18.471345 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.471362 /dev/input/event3: 0003 0039 ffffffff
2018-02-03 17:57:18.471378 /dev/input/event3: 0001 0145 00000000
2018-02-03 17:57:18.471395 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.471412 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471428 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471445 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471462 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471478 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471495 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471512 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471528 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471545 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471562 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471579 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471595 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471612 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471629 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471645 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471662 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471679 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471695 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471712 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471729 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471745 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471762 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471779 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471795 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471812 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471829 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471846 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471862 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471879 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471895 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471912 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471929 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471945 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.471962 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.471979 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.471995 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.472012 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.472029 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.472045 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.472062 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.472079 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.472095 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.472112 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.472129 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.472145 /dev/input/event2: 0001 0066 00000001
2018-02-03 17:57:18.472162 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.472179 /dev/input/event2: 0001 0066 00000000
2018-02-03 17:57:18.472201 /dev/input/event2: 0000 0000 00000000
2018-02-03 17:57:18.472219 /dev/input/event3: 0003 0039 00000cba
2018-02-03 17:57:18.472236 /dev/input/event3: 0001 0145 00000001
2018-02-03 17:57:18.472253 /dev/input/event3: 0003 0035 0000029c
2018-02-03 17:57:18.472270 /dev/input/event3: 0003 0036 000006f4
2018-02-03 17:57:18.472286 /dev/input/event3: 0003 0030 00000004
2018-02-03 17:57:18.472303 /dev/input/event3: 0003 0031 00000004
2018-02-03 17:57:18.472320 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.472336 /dev/input/event3: 0003 0039 ffffffff
2018-02-03 17:57:18.472353 /dev/input/event3: 0001 0145 00000000
2018-02-03 17:57:18.472370 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.472386 /dev/input/event3: 0003 0039 00000cbb
2018-02-03 17:57:18.472403 /dev/input/event3: 0001 0145 00000001
2018-02-03 17:57:18.472420 /dev/input/event3: 0003 0035 000001aa
2018-02-03 17:57:18.472436 /dev/input/event3: 0003 0036 000005ca
2018-02-03 17:57:18.472453 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.472470 /dev/input/event3: 0003 0030 00000002
2018-02-03 17:57:18.472486 /dev/input/event3: 0003 0031 00000002
2018-02-03 17:57:18.472503 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.472519 /dev/input/event3: 0003 0039 ffffffff
2018-02-03 17:57:18.472536 /dev/input/event3: 0001 0145 00000000
2018-02-03 17:57:18.472553 /dev/input/event3: 0000 0000 00000000
2018-02-03 17:57:18.472569 /dev/input/event3: 0003 0039 00000cbc
2018-02-03 17:57:18.472586 /dev/input/event3: 0001 0145 00000001
2018-02-03 17:57:18.472603 /dev/input/event3: 0003 0035 00000156
2018-02-03 17:57:18.472619 /dev/input/event3: 0003 0036 00000310
